supplier_name,invoice_date,due_date,invoice_number,total_amount,vat,currency_code,ocr_number,message,bank_giro,is_fake
Asfalt och Betong,2006-05-19,2006-06-18,72,115610,23122,SEK,3023183288355,Toothbrush boil zip whisper various base alarm smell,1445-1819,False
dongdexon,1998-07-23,1998-08-22,48,111664,22332,SEK,1792511834609,Foot big comb respect,7596-4395,False
Ontosailit,2022-05-19,2022-06-18,149,25693,5138,SEK,4105163746061,Rod teeny-tiny,3070-8812,False
geonti,2021-09-09,2021-10-09,135,99516,19903,SEK,4721710783702,Admire stick chilly tranquil invincible,5643-6496,False
Guadtrans,2024-03-05,2024-04-04,152,123356,24671,SEK,8375779377801,Cover dust melodic black-and-white,6139-2023,False
GUBA,2019-05-09,2019-06-08,105,116652,23330,SEK,0053219348363,Sail bite-sized nutritious rustic sneeze relax obnoxious,6232-4322,False
Fintechnology,1992-03-15,1992-04-14,68,42293,8458,SEK,8386414248273,Orange acoustics romantic,6655-8131,False
Management Consultant Shop,2007-02-21,2007-03-23,204,101528,20305,SEK,1875629962477,Decisive temporary domineering handle theory challenge edge,6560-7251,False
Codetone,2001-08-02,2001-09-01,127,110931,22186,SEK,8086027154203,Rejoice harsh plough dislike,2288-8606,False
Ventotam,1999-08-07,1999-09-06,77,37074,7414,SEK,7504946492364,Decisive,5587-8078,False
rhyive,2003-05-04,2003-06-03,91,113782,22756,SEK,7985153445494,Outrageous scare handsomely,4660-8691,False
Vaiajob,2022-05-14,2022-06-13,99,28860,5772,SEK,3526341410539,Babies cabbage,7973-7110,False
Zotity,2003-07-24,2003-08-23,91,23635,4727,SEK,6468246876463,Shock believe,7048-3508,False
Skogstollens Media,2005-09-17,2005-10-17,124,127922,25584,SEK,6396637925138,Shape lame joke cagey move event light polite,2753-6556,False
O - tinzap,2015-01-04,2015-02-03,121,114621,22924,SEK,6673161919384,Purring exercise dance,5834-8517,False
Konbetam,2015-03-11,2015-04-10,57,6787,1357,SEK,7226696281421,Four nonchalant bake visit,7277-9556,False
U - code,2003-01-15,2003-02-14,56,135903,27180,SEK,8053301778149,Excite bounce knot,4297-6159,False
Asfalt och Betong,2003-12-01,2003-12-31,42,109985,21997,SEK,1245187167630,Picture jumpy suspend word flowery summer kind,1445-1819,False
Cleaning you!,1999-06-08,1999-07-08,157,89954,17990,SEK,3187836711822,Left friendly therapeutic drag violet neighborly trip,5730-7621,False
Icedexon,2007-01-08,2007-02-07,15,95420,19084,SEK,1161419537724,Pickle robin extra-large arrive monkey earth,6880-6397,False
GotteButiken.nu,2016-08-08,2016-09-07,247,44684,8936,SEK,8679063596871,Stupendous average,4704-4664,False
app.thing,1999-03-30,1999-04-29,116,62432,12486,SEK,7072330368103,Aggressive committee industry thrill sore chilly pour,6776-6428,False
Icedexon,2024-08-06,2024-09-05,229,89749,17949,SEK,1688691718093,Wild overjoyed,6880-6397,False
Funholdings,1992-03-07,1992-04-06,134,82144,16428,SEK,8076313689574,Industry quiver stimulating whine post war hunt beautiful,4197-1649,False
Fintexon,1997-02-26,1997-03-28,23,110484,22096,SEK,5444169777849,Barbarous foamy appreciate yarn guide,1082-8176,False
Blå Boden,1992-09-16,1992-10-16,124,14562,2912,SEK,9344651005913,Unhealthy drop chop,7301-1520,False
Asfalt och Betong,2008-09-05,2008-10-05,100,88091,17618,SEK,6462767735398,Sneeze vague secretive pretend reward,1445-1819,False
Hyper Laser Printer Studio,1992-05-11,1992-06-10,119,13990,2798,SEK,5421571058885,Pets accept start,5554-1742,False
Asfalt och Betong,2002-11-06,2002-12-06,29,78184,15636,SEK,7545741292384,Wave crime reduce slimy lively,1445-1819,False
Avamm,1990-11-20,1990-12-20,33,88016,17603,SEK,9697084505803,Thank lick unruly,7223-8843,False
